Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,750.00,REDACTED PERSONAL DATA
Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,300.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105639001,29.11.2013,Short Breaks,Payment to Private Contractors,40.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105635033,04.11.2013,Arts Projects,Grants to External Bodies,190.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105635225,06.11.2013,Drug Misuse - Adults,Charges from Independent Providers,120.00,REDACTED PERSONAL DATA
Revenue,Resources,5105635629,08.11.2013,Coroner,Post Mortem Fees,276.90,REDACTED PERSONAL DATA
Revenue,Resources,5105635629,08.11.2013,Coroner,Post Mortem Fees,319.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105634163,06.11.2013,Shared Lives Scheme,Charges from Independent Providers,632.40,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105638205,22.11.2013,Shared Lives Scheme,Charges from Independent Providers,612.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637515,20.11.2013,Drug Misuse - Adults,Payment to Private Contractors,195.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637514,20.11.2013,Drug Misuse - Adults,Payment to Private Contractors,210.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105638628,27.11.2013,Workforce Development - Early Years,Training,250.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105637933,22.11.2013,Off-Street Parking Operations,Professional Services,158.89,*ISLANDWIDE WINDSCREENS
Revenue,Community Wellbeing & Social Care,5105637516,20.11.2013,Drug Misuse - Adults,Payment to Private Contractors,210.00,REDACTED PERSONAL DATA
Revenue,Resources,5105636092,13.11.2013,ICT Contracts,Computer Maintenance,200.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105634998,06.11.2013,Workforce Development - Early Years,Training,500.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105631475,15.11.2013,Support for Looked After Children,Support Children,400.00,*LUCY MUNDY T/A ISLAND EQUUS +
Revenue,Community Wellbeing & Social Care,5105636251,15.11.2013,Hub Coordinators,Training,498.33,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105633801,20.11.2013,Referral & Assessment,Agency staff,697.50,*M.EL.H LIMITED
Revenue,Childrens Services,5105633998,06.11.2013,Referral & Assessment,Agency staff,675.00,*M.EL.H LIMITED
Revenue,Childrens Services,5105633998,06.11.2013,Duty and Assessment 2,Agency staff,675.00,*M.EL.H LIMITED
Revenue,Childrens Services,5105633801,20.11.2013,Duty and Assessment 2,Agency staff,697.50,*M.EL.H LIMITED
Revenue,Childrens Services,5105637532,20.11.2013,Education Participation Team,Cleaning Contracts,8.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637180,20.11.2013,Post Inspection Improvement cost,Consultants Fees,70.00,*ONE HOLYROOD
Revenue,Childrens Services,5105637181,20.11.2013,LSCB (Local Safeguarding Childrens Board),Consultants Fees,140.00,*ONE HOLYROOD
Revenue,Childrens Services,5105634201,06.11.2013,Safeguarding Support,Travel Expenses,140.00,*ONE HOLYROOD
Revenue,Childrens Services,5105634100,01.11.2013,Safeguarding Support,Travel Expenses,140.00,*ONE HOLYROOD
Revenue,Childrens Services,5105635674,08.11.2013,Safeguarding Support,Travel Expenses,140.00,*ONE HOLYROOD
Revenue,Childrens Services,5105637180,20.11.2013,Safeguarding Support,Travel Expenses,70.00,*ONE HOLYROOD
Revenue,Childrens Services,5105638208,22.11.2013,S17 Child Protection,Professional Services,279.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635735,08.11.2013,Short Breaks,Payments to Voluntary and Other Associations,150.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637563,22.11.2013,North & East Provision,Operational Equipment,840.00,*RYDE EXTREME PERFORMERS
Revenue,Childrens Services,5105637563,22.11.2013,North & East Provision,Operational Equipment,187.50,*RYDE EXTREME PERFORMERS
Revenue,Community Wellbeing & Social Care,5105638454,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,120.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637567,22.11.2013,Workforce Development Schools,Training,382.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637263,20.11.2013,Complaints (Children & Families),Professional Services,"1,877.34",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105638453,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,120.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637253,27.11.2013,Archives,Maintenance of Office Equipment,455.00,111616 OPCO (UK) LTD
Revenue,Community Wellbeing & Social Care,5105637625,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,866.67,2K PROPERTY
Revenue,Economy & Environment,5105637489,20.11.2013,Medina Vending Machine Stock,Order Settlement,755.06,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105635019,06.11.2013,Medina Vending Machine Stock,Order Settlement,-13.93,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105638187,22.11.2013,Gouldings Resource Centre,Catering Purchases,400.24,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105638187,22.11.2013,Gouldings Resource Centre,Catering Purchases,33.44,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105637486,20.11.2013,Westminster House,Catering Purchases,216.16,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105637487,20.11.2013,Westminster House,Catering Purchases,44.12,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105637488,20.11.2013,Westminster House,Catering Purchases,98.98,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634215,06.11.2013,Westminster House,Catering Purchases,120.81,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634213,06.11.2013,Westminster House,Catering Purchases,156.14,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634218,06.11.2013,Westminster House,Catering Purchases,53.84,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634139,06.11.2013,Gouldings Resource Centre,Catering Purchases,373.28,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634139,06.11.2013,Gouldings Resource Centre,Catering Purchases,20.03,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105636338,13.11.2013,Gouldings Resource Centre,Catering Purchases,398.65,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105636338,13.11.2013,Gouldings Resource Centre,Catering Purchases,24.39,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105637959,22.11.2013,Heights Cafe Stock,Order Settlement,246.13,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105637959,22.11.2013,Heights Cafe Stock,Order Settlement,54.15,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105636337,13.11.2013,Heights Cafe Stock,Order Settlement,279.65,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105636337,13.11.2013,Heights Cafe Stock,Order Settlement,51.74,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105634146,06.11.2013,Heights Cafe Stock,Order Settlement,216.01,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105634146,06.11.2013,Heights Cafe Stock,Order Settlement,59.87,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105637958,22.11.2013,Westridge Squash Courts,Operational Equipment,51.04,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105634203,06.11.2013,Westridge Squash Courts,Operational Equipment,51.21,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105636339,13.11.2013,Heights Vending Stock,Order Settlement,146.91,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105634136,06.11.2013,Heights Vending Stock,Order Settlement,155.47,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105638229,27.11.2013,Heights Vending Stock,Order Settlement,126.85,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105638229,27.11.2013,Heights Vending Stock,Order Settlement,17.57,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105634131,06.11.2013,Fairway Sports Complex,Operational Equipment,327.01,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105637484,20.11.2013,Adelaide Resource Centre,Catering Purchases,344.68,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105637485,20.11.2013,Adelaide Resource Centre,Catering Purchases,95.89,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105637485,20.11.2013,Adelaide Resource Centre,Catering Purchases,4.84,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105635243,06.11.2013,Adelaide Resource Centre,Catering Purchases,311.06,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105635243,06.11.2013,Adelaide Resource Centre,Catering Purchases,15.67,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105635017,06.11.2013,Adelaide Resource Centre,Catering Purchases,-17.50,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634141,06.11.2013,Adelaide Resource Centre,Catering Purchases,250.01,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634144,06.11.2013,Adelaide Resource Centre,Catering Purchases,103.46,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634144,06.11.2013,Adelaide Resource Centre,Catering Purchases,11.54,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105634141,06.11.2013,Adelaide Resource Centre,Catering Purchases,0.01,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105635708,08.11.2013,Adelaide Resource Centre,Catering Purchases,127.34,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105635708,08.11.2013,Adelaide Resource Centre,Catering Purchases,14.79,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105636985,15.11.2013,40 Venner Avenue,Minor Works,171.56,A & M APPLIANCE CARE
Revenue,Community Wellbeing & Social Care,5105637611,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105638709,29.11.2013,Special Guardianship Order Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105638709,29.11.2013,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636733,15.11.2013,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636733,15.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636733,15.11.2013,In-house Fostering,Boarding Out Allowances,10.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637728,22.11.2013,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637728,22.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637728,22.11.2013,In-house Fostering,Boarding Out Allowances,10.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635296,08.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635296,08.11.2013,In-house Fostering,Boarding Out Allowances,10.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635296,08.11.2013,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637809,22.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105638789,29.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636813,15.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635378,08.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637809,22.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105638789,29.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635378,08.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636813,15.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635091,06.11.2013,Leaving Care Costs,Support Children,122.44,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105638683,29.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637701,22.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635269,08.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636705,15.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635338,08.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105638751,29.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637771,22.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636775,15.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637622,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105635138,22.11.2013,Dinosaur Isle Museum (Sandown Geology),Heritage Acquisition,"2,000.00",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637609,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,789.01,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637609,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,835.08,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105637609,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,649.83,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105638678,29.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105635265,08.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105637696,22.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105636700,15.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105638013,22.11.2013,Supporting People Older Persons,Payment to Private Contractors,397.20,ABBEYFIELD WEST WIGHT SOCIETY
Revenue,Community Wellbeing & Social Care,5105639981,29.11.2013,"Options,Prevention & Register Team",Computer Maintenance,"22,149.00",ABRITAS LTD
Revenue,Community Wellbeing & Social Care,5105638394,27.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,485.68,ACACIA CARE HOME
Revenue,Community Wellbeing & Social Care,5105637969,22.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",ACACIA CARE HOME
Revenue,Community Wellbeing & Social Care,5105634385,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
Revenue,Community Wellbeing & Social Care,5105634385,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
Revenue,Community Wellbeing & Social Care,5105634385,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
Revenue,Childrens Services,5105635031,04.11.2013,Referral & Assessment,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Referral & Assessment,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Children in Care Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Children in Care Team,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635627,08.11.2013,Children in Care Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635627,08.11.2013,Children in Care Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Saxonbury,Interview & recruitment expenses,176.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Saxonbury,Interview & recruitment expenses,24.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Plean Dene,Interview & recruitment expenses,220.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Plean Dene,Interview & recruitment expenses,30.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Beaulieu House,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Beaulieu House,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Education Welfare Service,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Education Welfare Service,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Clatterford Pupil Referral Unit (PRU),Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Clatterford Pupil Referral Unit (PRU),Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Highmead,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Highmead,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Reviewing Officer,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Reviewing Officer,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Fostering Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Fostering Team,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,No-Barriers,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,40 Venner Avenue,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,40 Venner Avenue,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Community & Wellbeing Directorate,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Community & Wellbeing Directorate,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Economy & Environment,5105637386,29.11.2013,Licensing Services,Interview & recruitment expenses,700.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,In-house Fostering,Interview & recruitment expenses,968.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,In-house Fostering,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635627,08.11.2013,In-house Fostering,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635627,08.11.2013,In-house Fostering,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635627,08.11.2013,In-house Fostering,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Adoption Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Childrens Services,5105635031,04.11.2013,Adoption Team,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
Revenue,Economy & Environment,5105635031,04.11.2013,The Heights,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Capital,Economy & Environment,5105635031,04.11.2013,The Heights,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Resources,5105635031,04.11.2013,Human Resources Support Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Resources,5105635031,04.11.2013,Human Resources Support Team,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Resources,5105635031,04.11.2013,Human Resources Support Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
Revenue,Resources,5105635031,04.11.2013,Human Resources Support Team,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
Revenue,Community Wellbeing & Social Care,5105636042,13.11.2013,Elderly Frail Homecare,Regular Respite Care,116.16,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105638276,27.11.2013,Elderly Frail Homecare,Charges from Independent Providers,0.00,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105636040,13.11.2013,Elderly Frail Homecare,Regular Respite Care,116.16,ACORN CARE SERVICE LTD
Revenue,Community Wellbeing & Social Care,5105637008,20.11.2013,Elderly Frail Homecare,Charges from Independent Providers,421.08,ACORN CARE SERVICE LTD
