Column,Field Name,Label/Description
129,READPROG_EAL_UPPER,Reading progress measure for EAL pupils - upper confidence limit
130,READPROG_MOBN,Reading progress measure for non-mobile pupils
131,READPROG_MOBN_LOWER,Reading progress measure for non-mobile pupils - lower confidence limit
132,READPROG_MOBN_UPPER,Reading progress measure for non-mobile pupils - upper confidence limit
133,WRITPROG_B,Writing progress measure for boys
134,WRITPROG_B_LOWER,Writing progress measure for boys - lower confidence limit
135,WRITPROG_B_UPPER,Writing progress measure for boys - upper confidence limit
136,WRITPROG_G,Wwriting progress measure for girls
137,WRITPROG_G_LOWER,Writing progress measure for girls - lower confidence limit
138,WRITPROG_G_UPPER,Writing progress measure for girls - upper confidence limit
139,WRITPROG_L,Writing progress measure for pupils with low prior attainment
140,WRITPROG_L_LOWER,Writing progress measure for pupils with low prior attainment - lower confidence limit
141,WRITPROG_L_UPPER,Writing progress measure for pupils with low prior attainment - upper confidence limit
142,WRITPROG_M,Writing progress measure for pupils with medium prior attainment
143,WRITPROG_M_LOWER,Writing progress measure for pupils with medium prior attainment - lower confidence limit
144,WRITPROG_M_UPPER,Writing progress measure for pupils with medium prior attainment - upper confidence limit
145,WRITPROG_H,Writing progress measure for pupils with high prior attainment
146,WRITPROG_H_LOWER,Writing progress measure for pupils with high prior attainment - lower confidence limit
147,WRITPROG_H_UPPER,Writing progress measure for pupils with high prior attainment - upper confidence limit
148,WRITPROG_FSM6CLA1A,Writing progress measure for disadvantaged pupils
149,WRITPROG_FSM6CLA1A_LOWER,Writing progress measure for disadvantaged pupils - lower confidence limit
150,WRITPROG_FSM6CLA1A_UPPER,Writing progress measure for disadvantaged pupils - upper confidence limit
151,WRITPROG_NotFSM6CLA1A,Writing progress measure for non-disadvantaged pupils
152,WRITPROG_NotFSM6CLA1A_LOWER,Writing progress measure for non-disadvantaged pupils - lower confidence limit
153,WRITPROG_NotFSM6CLA1A_UPPER,Writing progress measure for non-disadvantaged pupils - upper confidence limit
154,DIFFN_WRITPROG,Difference between writing progress measure for disadvantaged pupils in school and other pupils nationally
155,WRITPROG_EAL,Writing progress measure for EAL pupils
156,WRITPROG_EAL_LOWER,Writing progress measure for EAL pupils - lower confidence limit
157,WRITPROG_EAL_UPPER,Writing progress measure for EAL pupils - upper confidence limit
158,WRITPROG_MOBN,Writing progress measure for non-mobile pupils
159,WRITPROG_MOBN_LOWER,Writing progress measure for non-mobile pupils - lower confidence limit
160,WRITPROG_MOBN_UPPER,Writing progress measure for non-mobile pupils - upper confidence limit
161,MATPROG_B,Maths progress measure for boys
162,MATPROG_B_LOWER,Maths progress measure for boys - lower confidence limit
163,MATPROG_B_UPPER,Maths progress measure for boys - upper confidence limit
164,MATPROG_G,Maths progress measure for girls
165,MATPROG_G_LOWER,Maths progress measure for girls - lower confidence limit
166,MATPROG_G_UPPER,Maths progress measure for girls - upper confidence limit
167,MATPROG_L,Maths progress measure for pupils with low prior attainment
168,MATPROG_L_LOWER,Maths progress measure for pupils with low prior attainment - lower confidence limit
169,MATPROG_L_UPPER,Maths progress measure for pupils with low prior attainment - upper confidence limit
170,MATPROG_M,Maths progress measure for pupils with medium prior attainment
171,MATPROG_M_LOWER,Maths progress measure for pupils with medium prior attainment - lower confidence limit
172,MATPROG_M_UPPER,Maths progress measure for pupils with medium prior attainment - upper confidence limit
173,MATPROG_H,Maths progress measure for pupils with high prior attainment
174,MATPROG_H_LOWER,Maths progress measure for pupils with high prior attainment - lower confidence limit
175,MATPROG_H_UPPER,Maths progress measure for pupils with high prior attainment - upper confidence limit
176,MATPROG_FSM6CLA1A,Maths progress measure for disadvantaged pupils
177,MATPROG_FSM6CLA1A_LOWER,Maths progress measure for disadvantaged pupils - lower confidence limit
178,MATPROG_FSM6CLA1A_UPPER,Maths progress measure for disadvantaged pupils - upper confidence limit
179,MATPROG_NotFSM6CLA1A,Maths progress measure for non-disadvantaged pupils
180,MATPROG_NotFSM6CLA1A_LOWER,Maths progress measure for non-disadvantaged pupils - lower confidence limit
181,MATPROG_NotFSM6CLA1A_UPPER,Maths progress measure for non-disadvantaged pupils - upper confidence limit
182,DIFFN_MATPROG,Difference between maths progress measure for disadvantaged pupils in school and other pupils nationally
183,MATPROG_EAL,Maths progress measure for EAL pupils
184,MATPROG_EAL_LOWER,Maths progress measure for EAL pupils - lower confidence limit
185,MATPROG_EAL_UPPER,Maths progress measure for EAL pupils - upper confidence limit
186,MATPROG_MOBN,Maths progress measure for non-mobile pupils
187,MATPROG_MOBN_LOWER,Maths progress measure for non-mobile pupils - lower confidence limit
188,MATPROG_MOBN_UPPER,Maths progress measure for non-mobile pupils - upper confidence limit
189,READ_AVERAGE_L,Average scaled score in reading for pupils with low prior attainment
190,READ_AVERAGE_M,Average scaled score in reading for pupils with medium prior attainment
191,READ_AVERAGE_H,Average scaled score in reading for pupils with high prior attainment
192,READ_AVERAGE_FSM6CLA1A,Average scaled score in reading for disadvantaged pupils
193,READ_AVERAGE_NotFSM6CLA1A,Average scaled score in reading for non-disadvantaged pupils
194,MAT_AVERAGE_L,Average scaled score in maths for pupils with low prior attainment
195,MAT_AVERAGE_M,Average scaled score in maths for pupils with medium prior attainment
196,MAT_AVERAGE_H,Average scaled score in maths for pupils with high prior attainment
197,MAT_AVERAGE_FSM6CLA1A,Average scaled score in maths for disadvantaged pupils
198,MAT_AVERAGE_NotFSM6CLA1A,Average scaled score in maths for non-disadvantaged pupils
199,GPS_AVERAGE_L,Average scaled score in GPS for pupils with low prior attainment
200,GPS_AVERAGE_M,Average scaled score in GPS for pupils with medium prior attainment
201,GPS_AVERAGE_H,Average scaled score in GPS for pupils with high prior attainment
202,GPS_AVERAGE_FSM6CLA1A,Average scaled score in GPS for disadvantaged pupils
203,GPS_AVERAGE_NotFSM6CLA1A,Average scaled score in GPS for non-disadvantaged pupils
204,PTREAD_EXP_L,Percentage of pupils with low prior attainment reaching the expected standard in reading
205,PTREAD_EXP_M,Percentage of pupils with medium prior attainment reaching the expected standard in reading
206,PTREAD_EXP_H,Percentage of pupils with high prior attainment reaching the expected standard in reading
207,PTREAD_EXP_FSM6CLA1A,Percentage of disadvantaged pupils reaching the expected standard in reading
208,PTREAD_EXP_NotFSM6CLA1A,Percentage of non-disadvantaged pupils reaching the expected standard in reading
209,PTGPS_EXP_L,"Percentage of pupils with low prior attainment reaching the expected standard in grammar, punctuation and spelling"
210,PTGPS_EXP_M,"Percentage of pupils with medium prior attainment reaching the expected standard in grammar, punctuation and spelling"
211,PTGPS_EXP_H,"Percentage of pupils with high prior attainment reaching the expected standard in grammar, punctuation and spelling"
212,PTGPS_EXP_FSM6CLA1A,"Percentage of disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
213,PTGPS_EXP_NotFSM6CLA1A,"Percentage of non-disadvantaged pupils reaching the expected standard in grammar, punctuation and spelling"
214,PTMAT_EXP_L,Percentage of pupils with low prior attainment reaching the expected standard in maths
215,PTMAT_EXP_M,Percentage of pupils with medium prior attainment reaching the expected standard in maths
216,PTMAT_EXP_H,Percentage of pupils with high prior attainment reaching the expected standard in maths
217,PTMAT_EXP_FSM6CLA1A,Percentage of disadvantaged pupils reaching the expected standard in maths
218,PTMAT_EXP_NotFSM6CLA1A,Percentage of non-disadvantaged pupils reaching the expected standard in maths
219,PTWRITTA_EXP_L,Percentage of pupils with low prior attainment reaching the expected standard in writing
220,PTWRITTA_EXP_M,Percentage of pupils with medium prior attainment reaching the expected standard in writing
221,PTWRITTA_EXP_H,Percentage of pupils with high prior attainment reaching the expected standard in writing
222,PTWRITTA_EXP_FSM6CLA1A,Percentage of disadvantaged pupils reaching the expected standard in writing
223,PTWRITTA_EXP_NotFSM6CLA1A,Percentage of non-disadvantaged pupils reaching the expected standard in writing
224,PTREAD_HIGH_L,Percentage of pupils with low prior attainment achieving a high score in reading
225,PTREAD_HIGH_M,Percentage of pupils with medium prior attainment achieving a high score in reading
226,PTREAD_HIGH_H,Percentage of pupils with high prior attainment achieving a high score in reading
227,PTREAD_HIGH_FSM6CLA1A,Percentage of disadvantaged pupils achieving a high score in reading
228,PTREAD_HIGH_NotFSM6CLA1A,Percentage of non-disadvantaged pupils achieving a high score in reading
229,PTGPS_HIGH_L,"Percentage of pupils with low prior attainment achieving a high score in grammar, punctuation and spelling"
230,PTGPS_HIGH_M,"Percentage of pupils with medium prior attainment achieving a high score in grammar, punctuation and spelling"
231,PTGPS_HIGH_H,"Percentage of pupils with high prior attainment achieving a high score in grammar, punctuation and spelling"
232,PTGPS_HIGH_FSM6CLA1A,"Percentage of disadvantaged pupils achieving a high score in grammar, punctuation and spelling"
233,PTGPS_HIGH_NotFSM6CLA1A,"Percentage of non-disadvantaged pupils achieving a high score in grammar, punctuation and spelling"
234,PTMAT_HIGH_L,Percentage of pupils with low prior attainment achieving a high score in maths
235,PTMAT_HIGH_M,Percentage of pupils with medium prior attainment achieving a high score in maths
236,PTMAT_HIGH_H,Percentage of pupils with high prior attainment achieving a high score in maths
237,PTMAT_HIGH_FSM6CLA1A,Percentage of disadvantaged pupils achieving a high score in maths
238,PTMAT_HIGH_NotFSM6CLA1A,Percentage of non-disadvantaged pupils achieving a high score in maths
239,PTWRITTA_HIGH_L,Percentage of pupils with low prior attainment working at greater depth in writing
240,PTWRITTA_HIGH_M,Percentage of pupils with medium prior attainment working at greater depth in writing
241,PTWRITTA_HIGH_H,Percentage of pupils with high prior attainment working at greater depth in writing
242,PTWRITTA_HIGH_FSM6CLA1A,Percentage of disadvantaged pupils working at greater depth in writing
243,PTWRITTA_HIGH_NotFSM6CLA1A,Percentage of non-disadvantaged pupils working at greater depth in writing
244,TEALGRP1,Number of eligible pupils with English as first language
245,PTEALGRP1,Percentage of eligible pupils with English as first language
246,TEALGRP3,Number of eligible pupils with unclassified language
247,PTEALGRP3,Percentage of eligible pupils with unclassified language
248,TSENELAPK,Number of eligible pupils with SEN without statement or EHC plan
249,PSENELSAPK,Percentage of eligible pupils with SEN without statement or EHC plan
250,TSENELE,Number of eligible pupils with EHC plan
251,PSENELE,Percentage of eligible pupils with EHC plan
252,TSENELK,Number of eligible pupils with SEN support
253,PSENELK,Percentage of eligible pupils with SEN support
254,TSENELST,Number of eligible pupils with SEN (Special Educational Needs) statements
255,PSENELST,Percentage of eligible pupils with SEN (Special Educational Needs) statements
256,TSENELSAP,Number of eligible pupils with School Action Plus
257,PSENELSAP,Percentage of eligible pupils with School Action Plus
258,SENELN,Number of eligible pupils with SEN (Special Educational Needs) supported at School Action
259,PSENELN,Percentage of eligible pupils with SEN (Special Educational Needs) supported at School Action
