,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
27,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,80.00,REDACTED PERSONAL DATA
28,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
29,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
30,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
31,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
32,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
33,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
34,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,100.00,REDACTED PERSONAL DATA
35,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,750.00,REDACTED PERSONAL DATA
36,Revenue,Resources,5105637961,22.11.2013,Capital Receipts,Capital Contractor Payments,300.00,REDACTED PERSONAL DATA
37,Revenue,Childrens Services,5105639001,29.11.2013,Short Breaks,Payment to Private Contractors,40.00,REDACTED PERSONAL DATA
38,Revenue,Community Wellbeing & Social Care,5105635033,04.11.2013,Arts Projects,Grants to External Bodies,190.00,REDACTED PERSONAL DATA
39,Revenue,Community Wellbeing & Social Care,5105635225,06.11.2013,Drug Misuse - Adults,Charges from Independent Providers,120.00,REDACTED PERSONAL DATA
40,Revenue,Resources,5105635629,08.11.2013,Coroner,Post Mortem Fees,276.90,REDACTED PERSONAL DATA
41,Revenue,Resources,5105635629,08.11.2013,Coroner,Post Mortem Fees,319.00,REDACTED PERSONAL DATA
42,Revenue,Community Wellbeing & Social Care,5105634163,06.11.2013,Shared Lives Scheme,Charges from Independent Providers,632.40,REDACTED PERSONAL DATA
43,Revenue,Community Wellbeing & Social Care,5105638205,22.11.2013,Shared Lives Scheme,Charges from Independent Providers,612.00,REDACTED PERSONAL DATA
44,Revenue,Community Wellbeing & Social Care,5105637515,20.11.2013,Drug Misuse - Adults,Payment to Private Contractors,195.00,REDACTED PERSONAL DATA
45,Revenue,Community Wellbeing & Social Care,5105637514,20.11.2013,Drug Misuse - Adults,Payment to Private Contractors,210.00,REDACTED PERSONAL DATA
46,Revenue,Community Wellbeing & Social Care,5105638628,27.11.2013,Workforce Development - Early Years,Training,250.00,REDACTED PERSONAL DATA
47,Revenue,Economy & Environment,5105637933,22.11.2013,Off-Street Parking Operations,Professional Services,158.89,*ISLANDWIDE WINDSCREENS
48,Revenue,Community Wellbeing & Social Care,5105637516,20.11.2013,Drug Misuse - Adults,Payment to Private Contractors,210.00,REDACTED PERSONAL DATA
49,Revenue,Resources,5105636092,13.11.2013,ICT Contracts,Computer Maintenance,200.00,REDACTED PERSONAL DATA
50,Revenue,Community Wellbeing & Social Care,5105634998,06.11.2013,Workforce Development - Early Years,Training,500.00,REDACTED PERSONAL DATA
51,Revenue,Childrens Services,5105631475,15.11.2013,Support for Looked After Children,Support Children,400.00,*LUCY MUNDY T/A ISLAND EQUUS +
52,Revenue,Community Wellbeing & Social Care,5105636251,15.11.2013,Hub Coordinators,Training,498.33,REDACTED PERSONAL DATA
53,Revenue,Childrens Services,5105633801,20.11.2013,Referral & Assessment,Agency staff,697.50,*M.EL.H LIMITED
54,Revenue,Childrens Services,5105633998,06.11.2013,Referral & Assessment,Agency staff,675.00,*M.EL.H LIMITED
55,Revenue,Childrens Services,5105633998,06.11.2013,Duty and Assessment 2,Agency staff,675.00,*M.EL.H LIMITED
56,Revenue,Childrens Services,5105633801,20.11.2013,Duty and Assessment 2,Agency staff,697.50,*M.EL.H LIMITED
57,Revenue,Childrens Services,5105637532,20.11.2013,Education Participation Team,Cleaning Contracts,8.00,REDACTED PERSONAL DATA
58,Revenue,Childrens Services,5105637180,20.11.2013,Post Inspection Improvement cost,Consultants Fees,70.00,*ONE HOLYROOD
59,Revenue,Childrens Services,5105637181,20.11.2013,LSCB (Local Safeguarding Childrens Board),Consultants Fees,140.00,*ONE HOLYROOD
60,Revenue,Childrens Services,5105634201,06.11.2013,Safeguarding Support,Travel Expenses,140.00,*ONE HOLYROOD
61,Revenue,Childrens Services,5105634100,01.11.2013,Safeguarding Support,Travel Expenses,140.00,*ONE HOLYROOD
62,Revenue,Childrens Services,5105635674,08.11.2013,Safeguarding Support,Travel Expenses,140.00,*ONE HOLYROOD
63,Revenue,Childrens Services,5105637180,20.11.2013,Safeguarding Support,Travel Expenses,70.00,*ONE HOLYROOD
64,Revenue,Childrens Services,5105638208,22.11.2013,S17 Child Protection,Professional Services,279.00,REDACTED PERSONAL DATA
65,Revenue,Childrens Services,5105635735,08.11.2013,Short Breaks,Payments to Voluntary and Other Associations,150.00,REDACTED PERSONAL DATA
66,Revenue,Childrens Services,5105637563,22.11.2013,North & East Provision,Operational Equipment,840.00,*RYDE EXTREME PERFORMERS
67,Revenue,Childrens Services,5105637563,22.11.2013,North & East Provision,Operational Equipment,187.50,*RYDE EXTREME PERFORMERS
68,Revenue,Community Wellbeing & Social Care,5105638454,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,120.00,REDACTED PERSONAL DATA
69,Revenue,Community Wellbeing & Social Care,5105637567,22.11.2013,Workforce Development Schools,Training,382.00,REDACTED PERSONAL DATA
70,Revenue,Childrens Services,5105637263,20.11.2013,Complaints (Children & Families),Professional Services,"1,877.34",REDACTED PERSONAL DATA
71,Revenue,Community Wellbeing & Social Care,5105638453,27.11.2013,Drug Misuse - Adults,Payment to Private Contractors,120.00,REDACTED PERSONAL DATA
72,Revenue,Community Wellbeing & Social Care,5105637253,27.11.2013,Archives,Maintenance of Office Equipment,455.00,111616 OPCO (UK) LTD
73,Revenue,Community Wellbeing & Social Care,5105637625,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,866.67,2K PROPERTY
74,Revenue,Economy & Environment,5105637489,20.11.2013,Medina Vending Machine Stock,Order Settlement,755.06,3663 (BFS GROUP LTD)
75,Revenue,Economy & Environment,5105635019,06.11.2013,Medina Vending Machine Stock,Order Settlement,-13.93,3663 (BFS GROUP LTD)
76,Revenue,Community Wellbeing & Social Care,5105638187,22.11.2013,Gouldings Resource Centre,Catering Purchases,400.24,3663 (BFS GROUP LTD)
77,Revenue,Community Wellbeing & Social Care,5105638187,22.11.2013,Gouldings Resource Centre,Catering Purchases,33.44,3663 (BFS GROUP LTD)
78,Revenue,Community Wellbeing & Social Care,5105637486,20.11.2013,Westminster House,Catering Purchases,216.16,3663 (BFS GROUP LTD)
79,Revenue,Community Wellbeing & Social Care,5105637487,20.11.2013,Westminster House,Catering Purchases,44.12,3663 (BFS GROUP LTD)
80,Revenue,Community Wellbeing & Social Care,5105637488,20.11.2013,Westminster House,Catering Purchases,98.98,3663 (BFS GROUP LTD)
81,Revenue,Community Wellbeing & Social Care,5105634215,06.11.2013,Westminster House,Catering Purchases,120.81,3663 (BFS GROUP LTD)
82,Revenue,Community Wellbeing & Social Care,5105634213,06.11.2013,Westminster House,Catering Purchases,156.14,3663 (BFS GROUP LTD)
83,Revenue,Community Wellbeing & Social Care,5105634218,06.11.2013,Westminster House,Catering Purchases,53.84,3663 (BFS GROUP LTD)
84,Revenue,Community Wellbeing & Social Care,5105634139,06.11.2013,Gouldings Resource Centre,Catering Purchases,373.28,3663 (BFS GROUP LTD)
85,Revenue,Community Wellbeing & Social Care,5105634139,06.11.2013,Gouldings Resource Centre,Catering Purchases,20.03,3663 (BFS GROUP LTD)
86,Revenue,Community Wellbeing & Social Care,5105636338,13.11.2013,Gouldings Resource Centre,Catering Purchases,398.65,3663 (BFS GROUP LTD)
87,Revenue,Community Wellbeing & Social Care,5105636338,13.11.2013,Gouldings Resource Centre,Catering Purchases,24.39,3663 (BFS GROUP LTD)
88,Revenue,Economy & Environment,5105637959,22.11.2013,Heights Cafe Stock,Order Settlement,246.13,3663 (BFS GROUP LTD)
89,Revenue,Economy & Environment,5105637959,22.11.2013,Heights Cafe Stock,Order Settlement,54.15,3663 (BFS GROUP LTD)
90,Revenue,Economy & Environment,5105636337,13.11.2013,Heights Cafe Stock,Order Settlement,279.65,3663 (BFS GROUP LTD)
91,Revenue,Economy & Environment,5105636337,13.11.2013,Heights Cafe Stock,Order Settlement,51.74,3663 (BFS GROUP LTD)
92,Revenue,Economy & Environment,5105634146,06.11.2013,Heights Cafe Stock,Order Settlement,216.01,3663 (BFS GROUP LTD)
93,Revenue,Economy & Environment,5105634146,06.11.2013,Heights Cafe Stock,Order Settlement,59.87,3663 (BFS GROUP LTD)
94,Revenue,Economy & Environment,5105637958,22.11.2013,Westridge Squash Courts,Operational Equipment,51.04,3663 (BFS GROUP LTD)
95,Revenue,Economy & Environment,5105634203,06.11.2013,Westridge Squash Courts,Operational Equipment,51.21,3663 (BFS GROUP LTD)
96,Revenue,Economy & Environment,5105636339,13.11.2013,Heights Vending Stock,Order Settlement,146.91,3663 (BFS GROUP LTD)
97,Revenue,Economy & Environment,5105634136,06.11.2013,Heights Vending Stock,Order Settlement,155.47,3663 (BFS GROUP LTD)
98,Revenue,Economy & Environment,5105638229,27.11.2013,Heights Vending Stock,Order Settlement,126.85,3663 (BFS GROUP LTD)
99,Revenue,Economy & Environment,5105638229,27.11.2013,Heights Vending Stock,Order Settlement,17.57,3663 (BFS GROUP LTD)
100,Revenue,Economy & Environment,5105634131,06.11.2013,Fairway Sports Complex,Operational Equipment,327.01,3663 (BFS GROUP LTD)
101,Revenue,Community Wellbeing & Social Care,5105637484,20.11.2013,Adelaide Resource Centre,Catering Purchases,344.68,3663 (BFS GROUP LTD)
102,Revenue,Community Wellbeing & Social Care,5105637485,20.11.2013,Adelaide Resource Centre,Catering Purchases,95.89,3663 (BFS GROUP LTD)
103,Revenue,Community Wellbeing & Social Care,5105637485,20.11.2013,Adelaide Resource Centre,Catering Purchases,4.84,3663 (BFS GROUP LTD)
104,Revenue,Community Wellbeing & Social Care,5105635243,06.11.2013,Adelaide Resource Centre,Catering Purchases,311.06,3663 (BFS GROUP LTD)
105,Revenue,Community Wellbeing & Social Care,5105635243,06.11.2013,Adelaide Resource Centre,Catering Purchases,15.67,3663 (BFS GROUP LTD)
106,Revenue,Community Wellbeing & Social Care,5105635017,06.11.2013,Adelaide Resource Centre,Catering Purchases,-17.50,3663 (BFS GROUP LTD)
107,Revenue,Community Wellbeing & Social Care,5105634141,06.11.2013,Adelaide Resource Centre,Catering Purchases,250.01,3663 (BFS GROUP LTD)
108,Revenue,Community Wellbeing & Social Care,5105634144,06.11.2013,Adelaide Resource Centre,Catering Purchases,103.46,3663 (BFS GROUP LTD)
109,Revenue,Community Wellbeing & Social Care,5105634144,06.11.2013,Adelaide Resource Centre,Catering Purchases,11.54,3663 (BFS GROUP LTD)
110,Revenue,Community Wellbeing & Social Care,5105634141,06.11.2013,Adelaide Resource Centre,Catering Purchases,0.01,3663 (BFS GROUP LTD)
111,Revenue,Community Wellbeing & Social Care,5105635708,08.11.2013,Adelaide Resource Centre,Catering Purchases,127.34,3663 (BFS GROUP LTD)
112,Revenue,Community Wellbeing & Social Care,5105635708,08.11.2013,Adelaide Resource Centre,Catering Purchases,14.79,3663 (BFS GROUP LTD)
113,Revenue,Community Wellbeing & Social Care,5105636985,15.11.2013,40 Venner Avenue,Minor Works,171.56,A & M APPLIANCE CARE
114,Revenue,Community Wellbeing & Social Care,5105637611,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
115,Revenue,Childrens Services,5105638709,29.11.2013,Special Guardianship Order Costs,Support Children,132.69,REDACTED PERSONAL DATA
116,Revenue,Childrens Services,5105638709,29.11.2013,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
117,Revenue,Childrens Services,5105636733,15.11.2013,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
118,Revenue,Childrens Services,5105636733,15.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
119,Revenue,Childrens Services,5105636733,15.11.2013,In-house Fostering,Boarding Out Allowances,10.00,REDACTED PERSONAL DATA
120,Revenue,Childrens Services,5105637728,22.11.2013,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
121,Revenue,Childrens Services,5105637728,22.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
122,Revenue,Childrens Services,5105637728,22.11.2013,In-house Fostering,Boarding Out Allowances,10.00,REDACTED PERSONAL DATA
123,Revenue,Childrens Services,5105635296,08.11.2013,In-house Fostering,Boarding Out Allowances,181.79,REDACTED PERSONAL DATA
124,Revenue,Childrens Services,5105635296,08.11.2013,In-house Fostering,Boarding Out Allowances,10.00,REDACTED PERSONAL DATA
125,Revenue,Childrens Services,5105635296,08.11.2013,In-house Fostering,Boarding Out Allowances,146.09,REDACTED PERSONAL DATA
126,Revenue,Childrens Services,5105637809,22.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
127,Revenue,Childrens Services,5105638789,29.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
128,Revenue,Childrens Services,5105636813,15.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
129,Revenue,Childrens Services,5105635378,08.11.2013,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
130,Revenue,Childrens Services,5105637809,22.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
131,Revenue,Childrens Services,5105638789,29.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
132,Revenue,Childrens Services,5105635378,08.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
133,Revenue,Childrens Services,5105636813,15.11.2013,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
134,Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
135,Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
136,Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
137,Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
138,Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
139,Revenue,Community Wellbeing & Social Care,5105637620,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
140,Revenue,Childrens Services,5105635091,06.11.2013,Leaving Care Costs,Support Children,122.44,REDACTED PERSONAL DATA
141,Revenue,Childrens Services,5105638683,29.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
142,Revenue,Childrens Services,5105637701,22.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
143,Revenue,Childrens Services,5105635269,08.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
144,Revenue,Childrens Services,5105636705,15.11.2013,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
145,Revenue,Childrens Services,5105635338,08.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
146,Revenue,Childrens Services,5105638751,29.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
147,Revenue,Childrens Services,5105637771,22.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
148,Revenue,Childrens Services,5105636775,15.11.2013,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
149,Revenue,Community Wellbeing & Social Care,5105637622,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
150,Revenue,Community Wellbeing & Social Care,5105635138,22.11.2013,Dinosaur Isle Museum (Sandown Geology),Heritage Acquisition,"2,000.00",REDACTED PERSONAL DATA
151,Revenue,Community Wellbeing & Social Care,5105637609,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,789.01,REDACTED PERSONAL DATA
152,Revenue,Community Wellbeing & Social Care,5105637609,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,835.08,REDACTED PERSONAL DATA
153,Revenue,Community Wellbeing & Social Care,5105637609,22.11.2013,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,649.83,REDACTED PERSONAL DATA
154,Revenue,Childrens Services,5105638678,29.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
155,Revenue,Childrens Services,5105635265,08.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
156,Revenue,Childrens Services,5105637696,22.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
157,Revenue,Childrens Services,5105636700,15.11.2013,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
158,Revenue,Community Wellbeing & Social Care,5105638013,22.11.2013,Supporting People Older Persons,Payment to Private Contractors,397.20,ABBEYFIELD WEST WIGHT SOCIETY
159,Revenue,Community Wellbeing & Social Care,5105639981,29.11.2013,"Options,Prevention & Register Team",Computer Maintenance,"22,149.00",ABRITAS LTD
160,Revenue,Community Wellbeing & Social Care,5105638394,27.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,485.68,ACACIA CARE HOME
161,Revenue,Community Wellbeing & Social Care,5105637969,22.11.2013,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",ACACIA CARE HOME
162,Revenue,Community Wellbeing & Social Care,5105634385,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
163,Revenue,Community Wellbeing & Social Care,5105634385,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
164,Revenue,Community Wellbeing & Social Care,5105634385,06.11.2013,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
165,Revenue,Childrens Services,5105635031,04.11.2013,Referral & Assessment,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
166,Revenue,Childrens Services,5105635031,04.11.2013,Referral & Assessment,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
167,Revenue,Childrens Services,5105635031,04.11.2013,Children in Care Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
168,Revenue,Childrens Services,5105635031,04.11.2013,Children in Care Team,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
169,Revenue,Childrens Services,5105635627,08.11.2013,Children in Care Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
170,Revenue,Childrens Services,5105635627,08.11.2013,Children in Care Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
171,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Saxonbury,Interview & recruitment expenses,176.00,ACCESS PERSONAL CHECKING
172,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Saxonbury,Interview & recruitment expenses,24.00,ACCESS PERSONAL CHECKING
173,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Plean Dene,Interview & recruitment expenses,220.00,ACCESS PERSONAL CHECKING
174,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Plean Dene,Interview & recruitment expenses,30.00,ACCESS PERSONAL CHECKING
175,Revenue,Childrens Services,5105635031,04.11.2013,Beaulieu House,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
176,Revenue,Childrens Services,5105635031,04.11.2013,Beaulieu House,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING
177,Revenue,Childrens Services,5105635031,04.11.2013,Education Welfare Service,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING
178,Revenue,Childrens Services,5105635031,04.11.2013,Education Welfare Service,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
179,Revenue,Childrens Services,5105635031,04.11.2013,Clatterford Pupil Referral Unit (PRU),Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
180,Revenue,Childrens Services,5105635031,04.11.2013,Clatterford Pupil Referral Unit (PRU),Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
181,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Highmead,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING
182,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Highmead,Interview & recruitment expenses,18.00,ACCESS PERSONAL CHECKING
183,Revenue,Childrens Services,5105635031,04.11.2013,Reviewing Officer,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
184,Revenue,Childrens Services,5105635031,04.11.2013,Reviewing Officer,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
185,Revenue,Childrens Services,5105635031,04.11.2013,Fostering Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
186,Revenue,Childrens Services,5105635031,04.11.2013,Fostering Team,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
187,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,No-Barriers,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
188,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,40 Venner Avenue,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
189,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,40 Venner Avenue,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
190,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Community & Wellbeing Directorate,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
191,Revenue,Community Wellbeing & Social Care,5105635031,04.11.2013,Community & Wellbeing Directorate,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
192,Revenue,Economy & Environment,5105637386,29.11.2013,Licensing Services,Interview & recruitment expenses,700.00,ACCESS PERSONAL CHECKING
193,Revenue,Childrens Services,5105635031,04.11.2013,In-house Fostering,Interview & recruitment expenses,968.00,ACCESS PERSONAL CHECKING
194,Revenue,Childrens Services,5105635031,04.11.2013,In-house Fostering,Interview & recruitment expenses,132.00,ACCESS PERSONAL CHECKING
195,Revenue,Childrens Services,5105635627,08.11.2013,In-house Fostering,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
196,Revenue,Childrens Services,5105635627,08.11.2013,In-house Fostering,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
197,Revenue,Childrens Services,5105635627,08.11.2013,In-house Fostering,Interview & recruitment expenses,88.00,ACCESS PERSONAL CHECKING
198,Revenue,Childrens Services,5105635031,04.11.2013,Adoption Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
199,Revenue,Childrens Services,5105635031,04.11.2013,Adoption Team,Interview & recruitment expenses,12.00,ACCESS PERSONAL CHECKING
200,Revenue,Economy & Environment,5105635031,04.11.2013,The Heights,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
201,Capital,Economy & Environment,5105635031,04.11.2013,The Heights,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING
202,Revenue,Resources,5105635031,04.11.2013,Human Resources Support Team,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING
