AO,TALLPPEGRD_AGEN,Average point score per applied general entry expressed as a grade,,,,
AP,TINCLUDE_B3,Number of students included in the best 3 A levels measure,,,.,.
AQ,TB3PTSE,Average point score in best 3 A level entries,,,,
AR,TB3PTSE_GRD,Average point score in best 3 A level entries expressed as a grade,,,,
AS,TINCLUDE_AAB_2FAC,Number of students included in AAB in 2 facilitating subjects measure,,,.,.
AT,PTAAB_2FAC,"Percentage of A level students achieving at least three levels at grades AAB or better, at least two of which are in facilitating subjects",,,,
AU,TTECH_BACC,Number of students achieving the Tech Bacc,,,,
AV,T_InScope_ACAD_Ret,Number of students at the end of 16-18 study with an academic core aim,,,.,.
AW,T_InScope_TLEV_Ret,Number of students at the end of 16-18 study with a tech level core aim,,,.,.
AX,T_InScope_AGEN_Ret,Number of students at the end of 16-18 study with an applied general core aim,,,.,.
AY,T_InScope_ALEV_Ret,Number of students at the end of 16-18 study with an A level core aim,,,.,.
AZ,PT_Retained_ACAD_Ret,Percentage of academic core aims retained,,,,
BA,PT_Retained_TLEV_Ret,Percentage of tech level core aims retained,,,,
BB,PT_Retained_AGEN_Ret,Percentage of applied general core aims retained,,,,
BC,PT_Retained_ALEV_Ret,Percentage of A level core aims retained,,,,
BD,T_AIMS_CA,Number of tech level aims (total number of qualifications studied by all students),,,.,.
BE,CA_SCORE,Completion and Attainment score,,,,
BF,T_SCOPEEX_E,Number of students at the end of 16-18 study included in English progress measure,,,.,.
BG,PROGEX_E,Average progress made in English,,,,
BH,T_SCOPEEX_M,Number of students at the end of 16-18 study included in maths progress measure,,,.,.
BI,PROGEX_M,Average progress made in maths,,,,
BJ - see row 3,ENTRIES_ALEV,Number of A level entries included in value added measure,,,.,.
BK - see row 3,VA_INS_ALEV,A level value added score,,,.,.
BL - see row 3,UCI_INS_ALEV,A level  value added upper confidence limit,,,.,.
BM - see row 3,LCI_INS_ALEV,A level value added lower confidence limit,,,.,.
BN - see row 3,ENTRIES_ACAD,Number of academic entries included in value added measure,,,.,.
BO - see row 3,VA_INS_ACAD,Academic value added score,,,.,.
BP - see row 3,UCI_INS_ACAD,Academic value added upper confidence limit,,,.,.
BQ - see row 3,LCI_INS_ACAD,Academic value added lower confidence limit,,,.,.
BR - see row 3,ENTRIES_AGEN,Number of applied general entries included in value added measure,,,.,.
BS - see row 3,VA_INS_AGEN,Applied general value added score,,,.,.
BT - see row 3,UCI_INS_AGEN,Applied general value added upper confidence limit,,,.,.
BU - see row 3,LCI_INS_AGEN,Applied general value added lower confidence limit,,,.,.
