Economy,Region,Country,GDP_2010,country,Country code,Pop_2010,Location_trimmed,Location,numeric code,LE_2010
,,Democratic Republic of the Congo,13138775753.2026,Democratic Republic of the Congo,180.0,65938.712,Democratic Republic of the Congo,         Democratic Republic of the Congo,180.0,58.1
,,Egypt,218887812549.851,Egypt,818.0,82040.994,Egypt,         Egypt,818.0,70.84
,,French Guiana,..,French Guiana,254.0,233.795,French Guiana,         French Guiana,254.0,78.98
,,Gambia,951805801.35401,Gambia,270.0,1693.002,Gambia,         Gambia,270.0,59.83
,,Gibraltar,..,Gibraltar,292.0,30.732,,,,
,,Guadeloupe,..,Guadeloupe,312.0,456.822,Guadeloupe,         Guadeloupe,312.0,80.56
,,Iran (Islamic Republic of),422567967404.512,Iran (Islamic Republic of),364.0,74253.373,Iran (Islamic Republic of),            Iran (Islamic Republic of),364.0,75.06
,,Kyrgyzstan,4794361821.20611,Kyrgyzstan,417.0,5464.567,Kyrgyzstan,            Kyrgyzstan,417.0,70.26
,,Lao People's Democratic Republic,7181441151.89789,Lao People's Democratic Republic,418.0,6260.544,Lao People's Democratic Republic,         Lao People's Democratic Republic,418.0,65.51
,,Martinique,..,Martinique,474.0,394.69,Martinique,         Martinique,474.0,81.18
,,Mayotte,..,Mayotte,175.0,208.723,Mayotte,         Mayotte,175.0,79.34
,,Micronesia (Federated States of),294117230.49711,,,,,,,
,,Montserrat,..,Montserrat,500.0,4.953,,,,
,,Nauru,..,Nauru,520.0,10.025,,,,
,,Niue,..,Niue,570.0,1.621,,,,
,,Palestine,..,,,,,,,
,,Republic of Korea,1014890141871.14,Republic of Korea,410.0,49090.041,Republic of Korea,         Republic of Korea,410.0,81.43
,,Republic of Moldova,5811622393.98689,Republic of Moldova,498.0,4084.483,Republic of Moldova,         Republic of Moldova,498.0,71.33
,,R?union,..,R?union,638.0,830.516,R?union,         R?union,638.0,79.54
,,Saint Kitts and Nevis,675553707.77778,Saint Kitts and Nevis,659.0,52.352,,,,
,,Saint Lucia,1208853571.11111,Saint Lucia,662.0,177.397,Saint Lucia,         Saint Lucia,662.0,74.81
,,Saint Vincent and the Grenadines,674762008.51852,Saint Vincent and the Grenadines,670.0,109.316,Saint Vincent and the Grenadines,         Saint Vincent and the Grenadines,670.0,72.75
,,Saint-Martin (French part),..,,,,,,,
,,Sao Tome and Principe,201037916.58371,Sao Tome and Principe,678.0,170.88,Sao Tome and Principe,         Sao Tome and Principe,678.0,66.23
,,Slovakia,87077443708.6093,Slovakia,703.0,5406.896,Slovakia,         Slovakia,703.0,76.04
,,The former Yugoslav Republic of Macedonia,9338665630.76177,,,,,,,
,,Tokelau,..,Tokelau,772.0,1.135,,,,
,,United Kingdom of Great Britain and Northern Ireland,2285561538461.54,,,,,,,
,,United Republic of Tanzania,22915004297.2183,United Republic of Tanzania,834.0,45648.525,United Republic of Tanzania,         United Republic of Tanzania,834.0,64.04
,,United States of America,14958300000000,United States of America,840.0,309876.17,United States of America,      United States of America,840.0,78.88
,,United States Virgin Islands,..,United States Virgin Islands,850.0,106.382,United States Virgin Islands,         United States Virgin Islands,850.0,80.06
,,Venezuela (Bolivarian Republic of),393807511437.279,Venezuela (Bolivarian Republic of),862.0,28995.745,Venezuela (Bolivarian Republic of),         Venezuela (Bolivarian Republic of),862.0,73.95
,,Viet Nam,115931749904.86,Viet Nam,704.0,88357.775,Viet Nam,         Viet Nam,704.0,75.57
,,Western Sahara,..,Western Sahara,732.0,512.065,Western Sahara,         Western Sahara,732.0,67.61
,,Yemen,31883409718.7382,Yemen,887.0,23591.972,Yemen,         Yemen,887.0,63.51
,,,,Saint Helena,654.0,4.173,,,,
,,,,"China, Hong Kong SAR",344.0,6993.57,"China, Hong Kong SAR","         China, Hong Kong SAR",344.0,83.74
,,,,"China, Macao SAR",446.0,534.626,"China, Macao SAR","         China, Macao SAR",446.0,80.3
,,,,Dem. People's Republic of Korea,408.0,24500.506,Dem. People's Republic of Korea,         Dem. People's Republic of Korea,408.0,69.91
,,,,Other non-specified areas,158.0,23200.405,,,,
,,,,State of Palestine,275.0,4068.78,State of Palestine,         State of Palestine,275.0,72.65
,,,,United Kingdom,826.0,62716.684,United Kingdom,         United Kingdom,826.0,80.45
,,,,Holy See,336.0,0.799,,,,
,,,,TFYR Macedonia,807.0,2062.443,TFYR Macedonia,         TFYR Macedonia,807.0,75.16
,,,,Caribbean Netherlands,535.0,20.942,,,,
,,,,Falkland Islands (Malvinas),238.0,2.856,,,,
,,,,Saint Pierre and Miquelon,666.0,6.274,,,,
,,,,Micronesia (Fed. States of),583.0,103.619,Micronesia (Fed. States of),         Micronesia (Fed. States of),583.0,68.93
,,,,Wallis and Futuna Islands,876.0,13.565,,,,
